hash_email;hash_phone;client_id_loreal;ville;postal;age;genre;segment_loreal;freq_achat_premium_an;panier_premium_eur;marque_pref;categorie_pref;programme_fidelite;date_1er_achat
bcbcc6964b5917e4a37f;6096ee31c7b0e4562faf;LOR-500026;Lille;59000;40;H;Découverte;0.4;55;Yves Saint Laurent;Soin corps;Oui;2023-06-19
ade4589ed5a7b341ebf1;d8e1577bf671c0e12d62;LOR-500027;Bordeaux;33000;30;F;Standard;1.5;85;Garnier;Soin corps;Non;2023-10-02
9cc586d2214eb7a492d9;2780da0fc337bca713ee;LOR-500028;Lyon;69003;38;H;Découverte;1.0;56;Vichy;Soin visage;Non;2022-02-10
f71541ed0ad3dde6aab9;0bd7ebe21fa8df22cad3;LOR-500029;Montpellier;34000;67;F;Prestige;9.0;203;Kiehl's;Maquillage;Non;2025-02-08
564b0cf0e13a0d47473a;7e885d9bbad2ff817825;LOR-500030;Strasbourg;67000;63;F;Premium;4.2;112;Yves Saint Laurent;Soin corps;Oui;2022-03-12
4179be4589322123e394;b8b2f164e8b7e64fe41a;LOR-500031;Saint-Denis;93200;61;H;Découverte;0.4;22;Giorgio Armani;Solaire;Oui;2024-01-26
6e7e694a35f74488eacb;323136b11b43bcf8208d;LOR-500032;Nice;06000;43;H;Premium;2.2;146;Garnier;Cheveux;Non;2022-09-18
b2b72e999b395620e3d9;00f82fa4803154a2e60b;LOR-500033;Bordeaux;33000;37;F;Découverte;0.7;48;Vichy;Cheveux;Oui;2023-06-20
9814635eb5d1f11deb3e;2ab68463f60fb63bc361;LOR-500034;Grenoble;38000;39;F;Premium;2.9;159;Vichy;Solaire;Non;2025-05-17
b568218e6b5cc850c7b8;953e5c76a3e181ebbe3e;LOR-500035;Lyon;69003;30;F;Premium;4.2;120;Yves Saint Laurent;Cheveux;Oui;2023-01-28
a0dc406fb186501f3aea;87aef5df2f64c7e100c2;LOR-500036;Rennes;35000;41;F;Standard;1.6;42;Yves Saint Laurent;Soin corps;Non;2022-04-27
5e948310dbd48d228c53;8d1722723536c1ad3fb4;LOR-500037;Lyon;69003;37;F;Standard;1.3;80;Garnier;Cheveux;Oui;2024-06-20
e788a894a0e5de1a7d60;0f4edad1e6613defb149;LOR-500038;Nice;06000;58;F;Prestige;6.4;217;L'Oréal Paris;Maquillage;Oui;2024-07-13
53fc1bb3bf25835722ad;2ff0c850245fa271114a;LOR-500039;Lille;59000;33;F;Standard;1.8;61;Vichy;Parfum;Oui;2022-05-11
aaab7076cd2236a6661b;9402adb0ebaf92db042a;LOR-500040;Versailles;78000;46;H;Premium;3.9;137;La Roche-Posay;Maquillage;Oui;2022-07-05
f991ceb346f804461a2a;3f08112e6d44da041ef5;LOR-500041;Lille;59000;54;H;Premium;2.6;103;L'Oréal Paris;Soin visage;Oui;2025-11-11
a2d7209fcf980f0d0cab;0706aeecb71fb29619f7;LOR-500042;Lyon;69003;49;F;Standard;0.8;89;Kiehl's;Maquillage;Oui;2023-08-14
4f37eaca9bbe43e24ff7;fdbeda2a5803fffaa5bc;LOR-500043;Paris;75012;21;F;Découverte;0.4;44;Yves Saint Laurent;Soin visage;Oui;2024-12-04
79de635dab3848225895;e83014acfb8e0faca68a;LOR-500044;Versailles;78000;22;F;Prestige;8.6;272;Garnier;Soin visage;Oui;2025-10-17
bcd73bee77a8a8619935;6a8da80fca7468703bfc;LOR-500045;Boulogne;92100;45;F;Découverte;0.4;58;La Roche-Posay;Soin corps;Oui;2024-08-05
3c6e58ffeac83d346cf6;680a6d031f950956bc08;LOR-500046;Boulogne;92100;26;H;Découverte;0.9;27;Kiehl's;Soin visage;Oui;2024-04-24
e2cc5688bd8546940502;6e7342c05dc36d523310;LOR-500047;Strasbourg;67000;38;F;Standard;1.2;38;La Roche-Posay;Solaire;Oui;2024-05-17
61b34182f51c393db70b;97aeda6b70f91a99a58e;LOR-500048;Paris;75012;75;F;Premium;3.7;112;Lancôme;Solaire;Oui;2024-05-21
9232e77afd740471cd54;6acbedacca7d654e8d5f;LOR-500049;Marseille;13008;42;H;Premium;2.8;94;Maybelline;Parfum;Non;2025-11-20
9d92b7060feb8174ee4a;2bbe218eafa75776d6b1;LOR-500050;Montpellier;34000;62;H;Standard;1.9;77;Kiehl's;Soin corps;Oui;2022-04-28
70820a8577345afaddab;7e5d3c0df055effb9cb5;LOR-500051;Paris;75012;75;F;Standard;1.8;76;Yves Saint Laurent;Cheveux;Oui;2023-01-09
f1f09816fe98683b2d98;8049f21d6d231be656c8;LOR-500052;Strasbourg;67000;33;H;Premium;2.1;121;Kiehl's;Parfum;Non;2023-06-28
57c119edab2302e0b1c1;585d827dfd3d3cd0335a;LOR-500053;Rennes;35000;31;H;Premium;2.1;145;Maybelline;Cheveux;Oui;2022-07-12
2022d98e93d4ffa43ce7;7117528a9d0ae74fad7c;LOR-500054;Toulouse;31000;22;H;Découverte;0.6;54;Garnier;Parfum;Non;2022-08-20
ebf6f34a2d2e98d7ff39;74475a88f7bdb4ff6f26;LOR-500055;Lyon;69003;36;F;Standard;0.9;76;Kiehl's;Cheveux;Oui;2024-09-24
38ed16e85739090e6c82;69c5ff041ed530013dad;LOR-500056;Lille;59000;52;F;Premium;3.4;156;Maybelline;Cheveux;Non;2023-08-04
ba944766f1c580d5958b;e22514870188589efb53;LOR-500057;Grenoble;38000;46;F;Premium;2.3;156;L'Oréal Paris;Maquillage;Oui;2023-04-27
18df77509290b0fea449;e28d23161954f9012dd1;LOR-500058;Rennes;35000;27;F;Premium;3.1;99;Lancôme;Soin corps;Oui;2023-03-17
7f2e19b8316d6cbc6b20;2f34f657147394744a62;LOR-500059;Paris;75012;39;H;Découverte;0.4;27;Kiehl's;Maquillage;Oui;2022-01-03
930a3bb534baa7e33bbe;ca07dc88efdf6a6b3dd0;LOR-500060;Boulogne;92100;55;F;Standard;0.9;73;Maybelline;Solaire;Oui;2022-01-18
a1cd7f057d5ccb5de410;d6cf6b3eedfdeb8bbd37;LOR-500061;Montpellier;34000;31;F;Prestige;5.5;200;Giorgio Armani;Solaire;Oui;2022-08-09
351538ce5a39e1ad46c6;e65c7e77bfb5ace67f88;LOR-500062;Lille;59000;57;F;Premium;4.1;132;Yves Saint Laurent;Soin visage;Oui;2023-12-25
f7adba711b491f7c048d;2632d10c19b7243bbb4a;LOR-500063;Nantes;44000;19;F;Découverte;0.3;57;Maybelline;Soin visage;Oui;2022-12-02
bad8b57b7479116d30c2;03c9380e5fb79220663c;LOR-500064;Saint-Denis;93200;38;F;Premium;3.7;130;Yves Saint Laurent;Solaire;Oui;2023-05-01
d3f527797902149db966;ac4e0ecf776439688488;LOR-500065;Rennes;35000;47;F;Standard;1.5;84;Lancôme;Cheveux;Non;2022-06-25
cc61ac85d154dc68b537;d2c1130508c565318572;LOR-500066;Nice;06000;23;F;Premium;3.0;148;Vichy;Maquillage;Oui;2025-01-17
b94f40569165a266485b;f1430942812b605dff15;LOR-500067;Versailles;78000;50;F;Premium;3.4;147;Yves Saint Laurent;Parfum;Oui;2024-10-14
8898590cb8d074373149;23bdc4375b37b12b0f17;LOR-500068;Lyon;69003;53;H;Premium;2.2;110;Kiehl's;Soin corps;Non;2024-08-28
cc35d42fdc2af13277ea;5cbb199e58b3562e0fd8;LOR-500069;Versailles;78000;53;F;Découverte;0.6;20;La Roche-Posay;Maquillage;Oui;2025-06-11
dc8b7cb4adb5e134cda0;6f93cbcdc95d09f20c20;LOR-500070;Nantes;44000;37;F;Premium;2.3;97;Kiehl's;Soin visage;Oui;2023-05-03
5589393dee2738b7a9a0;3556826e275d9b989d8c;LOR-500071;Strasbourg;67000;66;F;Standard;1.3;65;Yves Saint Laurent;Soin corps;Oui;2024-12-24
e2795cbe6749a315810a;c8b677dd2e73985bf45d;LOR-500072;Lille;59000;42;F;Premium;2.3;142;Vichy;Cheveux;Oui;2022-10-05
b10f27aea131b5332421;b754e4651426e5826544;LOR-500073;Toulouse;31000;70;F;Premium;3.2;88;La Roche-Posay;Soin corps;Oui;2022-08-06
f206b0e95b0c7eb53766;389db3105d0db3b58fe4;LOR-500074;Boulogne;92100;40;F;Premium;4.1;151;L'Oréal Paris;Soin visage;Oui;2022-08-17
c12dca1c67e46d2a0d57;b789857602d085ab3b24;LOR-500075;Nantes;44000;53;H;Standard;1.0;40;Yves Saint Laurent;Soin corps;Non;2024-01-16
bfe197a8710afcbe7b30;73dcbd853200dac8f0e1;LOR-500076;Lille;59000;37;F;Prestige;7.9;155;Lancôme;Cheveux;Oui;2025-02-27
914b779945a6c0886dc0;06fbc991002e2f242d3d;LOR-500077;Paris;75012;44;H;Standard;1.7;87;Kiehl's;Maquillage;Oui;2022-08-03
5c9c21d08125b897fe19;9ec244fe34f87b8c475a;LOR-500078;Strasbourg;67000;28;H;Standard;0.8;71;La Roche-Posay;Solaire;Oui;2023-11-05
1fd9d9788e1497c84d16;4f08834bc260f0005d0c;LOR-500079;Bordeaux;33000;44;F;Standard;1.5;43;L'Oréal Paris;Soin corps;Oui;2025-12-03
205de9f5b0e0747498f7;c6132cf8ed972e04522d;LOR-500080;Boulogne;92100;41;F;Découverte;0.6;33;Yves Saint Laurent;Soin visage;Oui;2024-01-05
19b872d0357ed981824e;6758b922e9a0abc81d55;LOR-500081;Rennes;35000;74;F;Premium;3.5;117;L'Oréal Paris;Cheveux;Oui;2024-03-14
e38758f07a25d5ac71e9;3b395e60638ae7dabbd3;LOR-500082;Strasbourg;67000;24;F;Premium;2.7;137;Giorgio Armani;Solaire;Oui;2024-09-17
08063b432b3a5e6e6a9f;66abe7e0274f3cfa65a1;LOR-500083;Paris;75012;40;F;Premium;2.4;131;La Roche-Posay;Parfum;Oui;2025-08-09
5ebf52102cf06014e774;ba740e008fd02821093f;LOR-500084;Marseille;13008;18;F;Standard;1.2;48;Lancôme;Cheveux;Oui;2024-06-04
e0b513dbc18c50cc172f;c6f6997960b3676c7009;LOR-500085;Lyon;69003;75;F;Prestige;7.1;166;Maybelline;Cheveux;Oui;2022-10-22
bccf99c38fae157b36fd;8b0141fa95208fdf810e;LOR-500086;Paris;75012;54;H;Prestige;5.6;153;Vichy;Solaire;Non;2024-04-11
e5e2a25e94ff49293a79;00cff6644f55aaecdac2;LOR-500087;Marseille;13008;19;H;Standard;0.9;77;Maybelline;Parfum;Non;2024-01-01
7cb7c8d008711326186e;af1a1963f0086d09f319;LOR-500088;Boulogne;92100;63;H;Premium;4.0;123;La Roche-Posay;Solaire;Non;2024-08-21
4d378e57985397ffe0e3;2479b50c69c03c1e9701;LOR-500089;Saint-Denis;93200;39;F;Découverte;0.9;32;Kiehl's;Soin corps;Non;2022-06-23
b6adc1516f715a9dcfa1;3bf7608f831a40c0a449;LOR-500090;Bordeaux;33000;34;H;Standard;1.9;35;Giorgio Armani;Parfum;Non;2022-04-23
ae10901d0ad39bd73caa;5b0cc7307fe7f53fb97c;LOR-500091;Nice;06000;28;F;Découverte;0.3;52;L'Oréal Paris;Soin visage;Oui;2024-11-20
424277365b123dc7b364;b3ae1bb46eee282ffa66;LOR-500092;Versailles;78000;54;F;Découverte;0.7;42;Giorgio Armani;Parfum;Non;2024-03-02
0a353845c6f2f17d8993;35097f15c056982d6e7d;LOR-500093;Nantes;44000;45;H;Premium;2.1;81;Vichy;Cheveux;Oui;2022-09-13
62b590f7d5cfc049a482;bdcd374d84dd89ef4ad5;LOR-500094;Grenoble;38000;38;F;Standard;1.6;52;Giorgio Armani;Solaire;Oui;2024-05-19
1a47cb79601cab67da51;0aa3f2ea7f49ee1cc308;LOR-500095;Lille;59000;37;F;Standard;0.8;83;La Roche-Posay;Soin visage;Oui;2023-11-12
39c7d9ad162ba4fe6103;48c0fcbb73df7635474a;LOR-500096;Rennes;35000;70;F;Standard;1.3;53;Garnier;Parfum;Oui;2022-11-06
d654ba848694e0e22081;83cab804afe1be3dfd99;LOR-500097;Grenoble;38000;40;H;Standard;1.1;39;Lancôme;Cheveux;Oui;2025-11-02
15f16d64e90a894a944a;c9dfeaeda8d4a553891a;LOR-500098;Marseille;13008;48;F;Premium;3.9;112;Yves Saint Laurent;Soin visage;Oui;2025-08-08
d70d0c4a767fb8bd5e1a;770f078d694bc0f1fe56;LOR-500099;Strasbourg;67000;43;F;Standard;1.9;83;Garnier;Soin corps;Oui;2023-02-06
9842f6c9f128f869650d;7b7e1c0f5d1b4f87165f;LOR-500100;Versailles;78000;28;F;Standard;1.0;77;Lancôme;Solaire;Oui;2025-06-12
eb6e471e05ffc7f1776a;116b5fb77cf222cf00b9;LOR-500101;Lyon;69003;48;F;Premium;3.2;96;Yves Saint Laurent;Parfum;Oui;2023-12-25
59cef23713d2bd5f404b;fe4e8924e19d2e5039ed;LOR-500102;Boulogne;92100;62;F;Premium;3.1;101;Garnier;Soin visage;Non;2025-12-01
c44d1545aca1b7a30445;6eb35aa530cb9b034307;LOR-500103;Strasbourg;67000;51;F;Standard;1.7;58;Garnier;Soin visage;Non;2024-10-24
6cc192ffe77753ae10df;20cd44aa13c716bf8480;LOR-500104;Versailles;78000;45;F;Premium;2.4;85;La Roche-Posay;Maquillage;Oui;2023-02-18
a275f0a418df9b8c05da;6eb340d663fbc6f8bc55;LOR-500105;Boulogne;92100;42;F;Découverte;0.6;41;L'Oréal Paris;Soin visage;Non;2022-09-05
1ce91fc86d4ca2dbb538;956205aaed83999b5dcd;LOR-500106;Montpellier;34000;50;F;Premium;2.4;117;Giorgio Armani;Maquillage;Non;2023-01-09
3b347eb6994cb1babc65;8a140cad293a173144f4;LOR-500107;Lille;59000;50;F;Prestige;5.4;274;Giorgio Armani;Solaire;Oui;2023-12-21
8aba3eece024d9288afc;b8ef14eec3bb8a22ed2f;LOR-500108;Marseille;13008;53;F;Standard;2.0;89;Maybelline;Soin corps;Oui;2023-12-04
293de2231a704626cff4;509e3592fa333847a203;LOR-500109;Nantes;44000;61;H;Premium;2.1;133;L'Oréal Paris;Soin corps;Oui;2022-11-27
e12ac12f2b588693bde6;de93e4cb1aac9b6e5e3e;LOR-500110;Lyon;69003;73;H;Prestige;7.6;257;Garnier;Maquillage;Oui;2022-11-01
d94c767e64deffb04b4e;158c7d23141d0021c779;LOR-500111;Saint-Denis;93200;47;H;Standard;1.6;54;Lancôme;Maquillage;Non;2023-02-26
3bb25abeb82147e96eea;dd56209dbb6918552427;LOR-500112;Marseille;13008;44;F;Prestige;5.2;298;Yves Saint Laurent;Maquillage;Oui;2025-08-01
566765a538922f8fd433;4b03255eff7c828d24bb;LOR-500113;Nantes;44000;42;F;Premium;3.4;138;Giorgio Armani;Solaire;Oui;2023-02-19
393895f51af26741933f;aa7421718bb58ca04626;LOR-500114;Rennes;35000;35;F;Premium;2.9;118;Vichy;Soin corps;Oui;2024-10-25
33f4dfaefe1fdc7a3cee;60b26a189b683d4316ed;LOR-500115;Marseille;13008;20;H;Premium;3.0;101;Kiehl's;Soin corps;Oui;2025-02-03
614a04fb36b6c4946439;52085e9bf0dd50d5e070;LOR-500116;Bordeaux;33000;58;F;Premium;2.5;151;Kiehl's;Soin visage;Non;2022-09-24
8dab3ffc8f9cc85302a2;8e908fb52a0444a33413;LOR-500117;Grenoble;38000;42;H;Premium;4.4;98;L'Oréal Paris;Solaire;Oui;2025-05-08
63c95ac688e2eb486771;2f2fcf4d769cde26a0b2;LOR-500118;Montpellier;34000;56;H;Premium;2.6;138;Lancôme;Parfum;Non;2023-04-08
c1413d80d91909d147ce;a79292fe5095e1ba457f;LOR-500119;Rennes;35000;54;F;Premium;4.0;126;Vichy;Soin visage;Oui;2024-06-28
7ae377113be72cd42d9f;043f23ff94ab98429226;LOR-500120;Grenoble;38000;59;H;Premium;4.3;138;L'Oréal Paris;Solaire;Non;2024-04-12
75671baafa3dfe110003;867c3529966ebb950860;LOR-500121;Nantes;44000;43;F;Découverte;0.5;52;Yves Saint Laurent;Soin corps;Oui;2024-03-03
c95836d514e7ebd6ef84;0642a075de5eb80c75f2;LOR-500122;Lyon;69003;48;F;Premium;2.1;159;La Roche-Posay;Maquillage;Oui;2023-06-26
3925c302ba7c2febd4ac;27c630d90aba9e87827a;LOR-500123;Marseille;13008;36;F;Découverte;0.4;37;Giorgio Armani;Parfum;Non;2022-05-06
89be6a1d42f9072314a6;5745079182ce402bdfc1;LOR-500124;Versailles;78000;43;F;Premium;2.7;154;Kiehl's;Soin corps;Oui;2024-06-10
72f0f0a12d40ef30e1fd;b65baaf100df4a76dc50;LOR-500125;Paris;75012;23;F;Premium;3.1;108;Garnier;Solaire;Non;2022-08-17
dfd03b75d4dfbb575402;2df75d141dbf6db582d6;LOR-500126;Bordeaux;33000;62;H;Standard;0.9;40;La Roche-Posay;Maquillage;Oui;2024-11-09
8089c77a0438a721e8ae;8ac3cf0d3ad8f92c1897;LOR-500127;Rennes;35000;28;H;Standard;1.4;38;Giorgio Armani;Solaire;Oui;2022-12-17
a7e86aa73eb1778bc6ef;49c2ca9fd39eca3c191c;LOR-500128;Nantes;44000;50;F;Premium;3.9;137;Vichy;Solaire;Oui;2025-04-07
4df88b6ce1d324fe85e5;8d57430541214787d97b;LOR-500129;Boulogne;92100;27;F;Premium;4.3;99;Garnier;Soin visage;Oui;2024-06-21
2e540d1143d0b2ef957b;7a760e070a761d3c7cc2;LOR-500130;Marseille;13008;53;F;Premium;2.1;96;La Roche-Posay;Soin corps;Non;2023-02-14
9d45403801e82f2586ec;4408e2c794a187f45c40;LOR-500131;Grenoble;38000;49;H;Prestige;5.5;195;Yves Saint Laurent;Soin corps;Oui;2022-04-04
7ad87e80f973915579c1;a6f0b93a0e68c0663cd5;LOR-500132;Nice;06000;31;H;Premium;2.9;83;Maybelline;Maquillage;Oui;2023-12-12
e7708e2de8449788234c;d8af239150afe8e8fc78;LOR-500133;Montpellier;34000;67;H;Découverte;0.4;29;Maybelline;Maquillage;Non;2023-09-20
1af5e45493626f8363a5;6493fdfb41ef563b4129;LOR-500134;Toulouse;31000;25;F;Standard;1.4;49;Vichy;Soin corps;Oui;2024-01-16
734d9b155c26f2448758;c26a8fca41fb6b517603;LOR-500135;Versailles;78000;18;F;Premium;3.4;157;Garnier;Maquillage;Oui;2025-01-04
f6daafbf162439e003fc;54ee43204d28b6f47204;LOR-500136;Montpellier;34000;41;F;Prestige;4.6;281;Kiehl's;Solaire;Oui;2025-11-26
c4f2d758e39850104404;aa579120eb7ef1b62c3b;LOR-500137;Rennes;35000;55;F;Standard;1.1;47;L'Oréal Paris;Maquillage;Oui;2023-04-23
32b27e013d967de46c8f;6e3bec066bb785dbcb90;LOR-500138;Marseille;13008;43;H;Découverte;0.3;36;La Roche-Posay;Cheveux;Non;2023-12-27
196d664d5dffefa48a8b;bb435f74dc30ddd7cf55;LOR-500139;Saint-Denis;93200;58;F;Standard;1.0;59;La Roche-Posay;Maquillage;Oui;2022-07-08
e0be3247d00cab2ae044;f3af4117fa199bd3b59a;LOR-500140;Nantes;44000;71;F;Standard;1.8;38;Maybelline;Parfum;Oui;2023-01-16
afda535053251d473b59;b4eb98cb64ca6e634b7e;LOR-500141;Boulogne;92100;66;H;Standard;1.2;44;Yves Saint Laurent;Maquillage;Oui;2023-07-22
3177b006aecc7b289835;4357e8df79749a6875e5;LOR-500142;Lille;59000;71;F;Prestige;7.9;261;L'Oréal Paris;Soin corps;Oui;2024-06-09
7d7fefcde5edb22d4357;f8132e08d9bf6df01528;LOR-500143;Nice;06000;38;H;Premium;4.3;114;La Roche-Posay;Parfum;Oui;2024-01-19
703025adfa1451289c07;bfe0da709a9d89cb33ea;LOR-500144;Lille;59000;64;F;Découverte;0.4;51;Kiehl's;Soin visage;Oui;2022-03-01
4fc02749524c10af114f;d3ef68853e5844763023;LOR-500145;Marseille;13008;72;F;Premium;2.4;92;L'Oréal Paris;Soin visage;Oui;2023-12-14
c6b95c69eeaa0f035a0b;60f674319e0c2f4cb600;LOR-500146;Toulouse;31000;71;H;Découverte;0.6;50;Yves Saint Laurent;Maquillage;Oui;2025-08-08
e80692cf1857693518e5;d9a24775d10027393f35;LOR-500147;Strasbourg;67000;63;F;Prestige;7.0;147;Garnier;Cheveux;Oui;2025-06-08
024c4d58bb75975ec8ad;388e8c0a7c3285e30a9e;LOR-500148;Lyon;69003;43;H;Standard;1.6;42;Vichy;Parfum;Oui;2023-01-17
018f8ea6420719208b7d;b327b4505590b66bbbe3;LOR-500149;Lyon;69003;33;F;Standard;1.0;42;La Roche-Posay;Soin visage;Oui;2025-07-09
90335404a7910d4d4519;b18be2b5bcf22558ada3;LOR-500150;Strasbourg;67000;48;F;Découverte;0.6;46;Maybelline;Soin corps;Oui;2024-09-22
06a2404c8a0d24b67312;bbe6d0805baa11e6ee3a;LOR-500151;Nantes;44000;49;H;Standard;1.3;61;La Roche-Posay;Soin corps;Non;2022-05-28
44fd51e4297dad212143;7880e1a165611085fac6;LOR-500152;Bordeaux;33000;64;F;Premium;2.6;84;Vichy;Cheveux;Oui;2025-08-03
8afdfa29386bb5087876;4978c336f22fb1940446;LOR-500153;Grenoble;38000;25;H;Prestige;7.2;197;La Roche-Posay;Cheveux;Oui;2022-03-12
a061c2d3810160bbb880;0a5cef6d8dba1166dd9e;LOR-500154;Nice;06000;47;F;Premium;2.4;110;L'Oréal Paris;Cheveux;Non;2024-10-13
066d3c419b061f29bd7b;0436731c3befb245ccc4;LOR-500155;Bordeaux;33000;71;F;Premium;3.6;117;L'Oréal Paris;Soin visage;Oui;2022-07-19
ccc0698f9497caa516fa;3a416ae08fab498ab1f6;LOR-500156;Bordeaux;33000;24;F;Découverte;0.8;48;Giorgio Armani;Cheveux;Oui;2025-05-01
4781232e90fce2dc0324;0e303fd5c73c0057ceef;LOR-500157;Nantes;44000;53;H;Premium;3.6;155;Kiehl's;Cheveux;Non;2025-12-07
d0dfe1427092173ca39e;e910a92fe78ce0a99879;LOR-500158;Lyon;69003;29;H;Découverte;0.7;30;Lancôme;Cheveux;Oui;2023-01-23
30aeffa567ec1ec4219a;5283fa990e5800c4d0ab;LOR-500159;Montpellier;34000;22;F;Premium;3.9;124;Vichy;Parfum;Oui;2025-10-05
a50733035181e9eeb5ad;d72f6b0ef2f7abb804bc;LOR-500160;Marseille;13008;43;H;Découverte;0.5;24;Giorgio Armani;Cheveux;Oui;2022-03-24
b969f181fb9e623f2ef7;89adaf718a807b9541b3;LOR-500161;Strasbourg;67000;44;F;Découverte;0.9;42;Vichy;Maquillage;Oui;2024-11-22
41cf37a0ac8f40de85b5;909f6dc2023cb2d83953;LOR-500162;Bordeaux;33000;40;F;Standard;1.3;48;La Roche-Posay;Cheveux;Oui;2023-05-23
d4ae698f460d95719d41;dff273deab19c3f72e13;LOR-500163;Boulogne;92100;32;F;Premium;2.2;86;Kiehl's;Maquillage;Oui;2023-11-24
1a882f492fd0e6f9c206;53003649df9850958fa3;LOR-500164;Paris;75012;33;F;Premium;2.5;106;L'Oréal Paris;Maquillage;Non;2025-12-19
3989b734c53c990decac;052a9f96ae4d7abdbe47;LOR-500165;Versailles;78000;39;F;Premium;3.7;83;La Roche-Posay;Solaire;Non;2023-10-28
b5f8bcfc016f8e20f79f;4b1d01896d24d754c7b8;LOR-500166;Lyon;69003;41;F;Premium;4.4;142;Maybelline;Parfum;Oui;2022-05-07
bd50b244313f531ae653;a429c9ccd83a1a98e1cf;LOR-500167;Nice;06000;36;H;Standard;1.8;45;L'Oréal Paris;Soin corps;Oui;2024-03-15
