hash_email;hash_phone;client_id_carrefour;ville;postal;region;age;genre;segment_carrefour;panier_moy_eur;visites_par_mois;derniere_visite;anciennete_mois;rayon_pref
7c5309fe74776517ed76;b5bf3b3bff95e1bd0179;CAR-100027;Boulogne;92100;Île-de-France;43;F;Fidèle;173;3.5;2026-01-16;17;Jardin
89cefe13a3486a008b40;95052ebd7bfcf6e9a868;CAR-100028;Lille;59000;Hauts-de-France;53;H;Nouveau;45;1.1;2025-12-04;91;Alimentaire
e3bf8668b38d19a2114f;59ab790e6b9bb0a28f41;CAR-100029;Nice;06000;PACA;45;F;Occasionnel;39;1.8;2026-01-06;116;Jardin
d2571bc97ab1dac3a6ee;4363ef13a88b34af787b;CAR-100030;Boulogne;92100;Île-de-France;33;H;Fidèle;174;3.1;2026-03-14;136;Mode
1fcc46b557f9c29b4d7d;a66f30dbcb1b1aff9c10;CAR-100031;Versailles;78000;Île-de-France;53;H;Fidèle;140;3.5;2026-01-20;154;Maison
3245688424cf5fb15b3a;3eb47aad789ea720bc4c;CAR-100032;Lille;59000;Hauts-de-France;29;F;Fidèle;167;2.1;2026-03-15;15;Bébé-Enfant
c131ed65cd299fc4b361;a68db6316277cf1a835c;CAR-100033;Nice;06000;PACA;37;F;Occasionnel;49;2.0;2026-01-17;163;Jardin
347489e5bc852709649c;00c657029af3415fbd3f;CAR-100034;Grenoble;38000;Auvergne-Rhône-Alpes;58;F;Occasionnel;52;1.6;2026-02-10;136;Jardin
3b347eb6994cb1babc65;8a140cad293a173144f4;CAR-100035;Saint-Denis;93200;Île-de-France;50;F;Fidèle;141;2.7;2026-02-06;23;Alimentaire
eb5873de254e86202771;3f3126eea50bb8be6dbf;CAR-100036;Versailles;78000;Île-de-France;34;H;VIP;213;4.3;2026-02-08;70;Mode
659a9978ef2c0645bb1a;19404296eea7868c7238;CAR-100037;Rennes;35000;Bretagne;42;H;Fidèle;131;2.8;2025-12-29;120;Hygiène-Beauté
c34a0f7eb0d7dc137513;3a1a03a9e573393d7e05;CAR-100038;Lille;59000;Hauts-de-France;48;H;Nouveau;64;1.4;2025-12-03;33;Mode
dd9e3b5f93e58828a5ce;4a73a10dea35beb94807;CAR-100039;Lille;59000;Hauts-de-France;67;F;Occasionnel;53;0.7;2026-02-20;78;Électronique
7ad87e80f973915579c1;a6f0b93a0e68c0663cd5;CAR-100040;Marseille;13008;PACA;31;H;VIP;216;5.7;2025-12-16;128;Alimentaire
a0316b0ab67cbee9dbcb;1405b9b7def80b2628af;CAR-100041;Nantes;44000;Pays de la Loire;63;H;Fidèle;83;2.6;2026-01-29;158;Hygiène-Beauté
c0f766aa00f2f57f7cb9;534fe5fa9aac1fa6cc0f;CAR-100042;Versailles;78000;Île-de-France;29;F;Occasionnel;59;1.8;2026-01-10;173;Mode
89b77f136ba9aa50813f;039934d0207fe394dbdf;CAR-100043;Lyon;69003;Auvergne-Rhône-Alpes;39;F;Fidèle;125;3.3;2025-12-10;45;Jardin
6a6e598aef764a172f83;08048d58e38a912dffc5;CAR-100044;Versailles;78000;Île-de-France;61;H;VIP;259;6.6;2026-03-24;148;Mode
da502f2fa7fd9241a32a;efc75f5fd2c085dc4738;CAR-100045;Toulouse;31000;Occitanie;49;F;Fidèle;139;3.1;2026-02-27;151;Électronique
f493051fa296924e5311;b690b8267ca4d660db7a;CAR-100046;Marseille;13008;PACA;47;F;VIP;316;6.4;2026-02-05;9;Bébé-Enfant
62e9512ebe554364f9f7;e35c2048fed661e459e7;CAR-100047;Versailles;78000;Île-de-France;51;F;Occasionnel;35;0.9;2026-03-19;42;Maison
46f47feb1e9bd654b164;5630a1f7274f80f41036;CAR-100048;Marseille;13008;PACA;30;F;Nouveau;40;0.3;2026-02-06;85;Maison
f2c60ece4aed7b624c17;5f9983492ff54e959a84;CAR-100049;Nantes;44000;Pays de la Loire;62;H;Fidèle;81;3.2;2026-03-16;71;Alimentaire
5c21e76211d099c3eb52;d9d9a32fc9507b441883;CAR-100050;Strasbourg;67000;Grand Est;41;H;Fidèle;127;3.3;2026-01-14;175;Alimentaire
ac5e62ce9cee054c5089;cdf32b17f90280066fb2;CAR-100051;Toulouse;31000;Occitanie;29;H;Fidèle;158;2.8;2025-12-20;39;Maison
bd91086b720a3691984a;c22471c76f2e7f60e868;CAR-100052;Saint-Denis;93200;Île-de-France;68;F;Occasionnel;45;1.3;2026-01-30;161;Maison
cbafd4ecadbf3036aede;297d8138ce28a1481c6c;CAR-100053;Saint-Denis;93200;Île-de-France;31;F;Occasionnel;33;1.5;2026-01-09;57;Mode
70bb6769d6cb877d3c94;887feb69d3cfbbbd4ee2;CAR-100054;Saint-Denis;93200;Île-de-France;67;F;Occasionnel;40;0.6;2026-03-13;145;Maison
278ca7768f6694e54a74;1a6c925862212478c975;CAR-100055;Grenoble;38000;Auvergne-Rhône-Alpes;35;F;Occasionnel;62;1.5;2026-02-01;72;Hygiène-Beauté
c29d6f5078460da3af02;dd799c6ca32e21c9a330;CAR-100056;Boulogne;92100;Île-de-France;39;F;Occasionnel;43;1.9;2026-03-30;158;Électronique
734d9b155c26f2448758;c26a8fca41fb6b517603;CAR-100057;Lyon;69003;Auvergne-Rhône-Alpes;18;F;VIP;182;6.2;2025-12-20;169;Jardin
70d3cca4a8cbebe03aea;4b979856d5e2ac81ad9e;CAR-100058;Lille;59000;Hauts-de-France;49;H;VIP;187;6.7;2026-02-09;48;Bébé-Enfant
a54f7f88c14c74136fae;536ad234490d1d7a8008;CAR-100059;Bordeaux;33000;Nouvelle-Aquitaine;22;F;Occasionnel;59;0.8;2026-01-02;94;Hygiène-Beauté
ffc42fff32765d82d728;a14e86a3678af0fa78ac;CAR-100060;Rennes;35000;Bretagne;27;F;VIP;337;4.9;2025-12-05;158;Hygiène-Beauté
de3966e1c1595f9261cc;6ee478e80d23cacafdfd;CAR-100061;Montpellier;34000;Occitanie;37;F;VIP;281;6.0;2026-01-02;157;Mode
38599c2b5532eaef44ea;fc0cbd78dc496bc8d009;CAR-100062;Grenoble;38000;Auvergne-Rhône-Alpes;48;F;Fidèle;91;3.9;2025-12-20;73;Hygiène-Beauté
b7472d12bc300d2ac2d5;dec0c95ae7775ccc363d;CAR-100063;Nantes;44000;Pays de la Loire;74;F;Occasionnel;73;1.8;2026-01-07;175;Jardin
47e52f42cda046524205;b76d682901ec72a500ab;CAR-100064;Paris;75012;Île-de-France;21;F;VIP;262;4.5;2025-12-07;60;Alimentaire
11b417ea96f0d1a37dfc;3ddeebddc06a26b90e40;CAR-100065;Paris;75012;Île-de-France;46;F;Fidèle;143;2.4;2025-12-26;60;Jardin
d8063b7d8ee1c5d01b0c;c1da2be74ab6753c15c9;CAR-100066;Nantes;44000;Pays de la Loire;39;F;Fidèle;106;2.1;2025-12-17;9;Mode
1d3885e4eb6dd78e5231;399a02b183cc59695c0c;CAR-100067;Strasbourg;67000;Grand Est;36;H;Occasionnel;45;1.7;2025-12-19;63;Alimentaire
b0479a0391deb9cbf827;0beb8e719d089f34c696;CAR-100068;Paris;75012;Île-de-France;47;H;Occasionnel;78;0.6;2026-02-10;83;Bébé-Enfant
fefa49043124d726d455;af910f616aa98d6bcc8e;CAR-100069;Strasbourg;67000;Grand Est;41;H;Occasionnel;58;0.6;2026-03-24;78;Bébé-Enfant
bbab47ab933cec0cacbb;7590d40a89f68c4e1620;CAR-100070;Nantes;44000;Pays de la Loire;36;F;Fidèle;154;3.2;2026-01-30;112;Mode
43c9d80bce50e3cd5fe4;10b4352f2ce285fb7570;CAR-100071;Paris;75012;Île-de-France;34;F;Occasionnel;73;1.4;2026-01-13;20;Mode
68780eb5f2f18f06f695;4a36c63b1df78e32c1a1;CAR-100072;Marseille;13008;PACA;54;H;Occasionnel;38;1.2;2026-02-27;38;Bébé-Enfant
56131cc521741663cdda;f230d2e0eba85366f30c;CAR-100073;Strasbourg;67000;Grand Est;57;F;VIP;212;6.1;2025-12-21;40;Hygiène-Beauté
0c37f49bc20c061044ee;e90b12bc7bec6b674f89;CAR-100074;Toulouse;31000;Occitanie;50;F;Fidèle;118;3.0;2026-01-25;146;Bébé-Enfant
aae945d6a85a57e146bf;da4a032b18423fea728e;CAR-100075;Grenoble;38000;Auvergne-Rhône-Alpes;25;F;VIP;268;7.6;2026-01-01;122;Mode
8fbc9cf3a180a13ad864;6971640f1f645a806f7e;CAR-100076;Boulogne;92100;Île-de-France;56;H;Occasionnel;51;0.7;2026-03-25;129;Hygiène-Beauté
26014bc5888c3f69fc2e;d0a32df90a880a8e9856;CAR-100077;Lille;59000;Hauts-de-France;36;H;Nouveau;49;1.4;2025-12-17;99;Hygiène-Beauté
f73cffa0c7a070f66297;835d4b2545d16a347e30;CAR-100078;Montpellier;34000;Occitanie;32;F;Fidèle;121;3.1;2026-01-15;95;Alimentaire
058dab7b60047056962d;70e052391946a57e70d0;CAR-100079;Toulouse;31000;Occitanie;25;F;Nouveau;31;1.3;2026-03-08;53;Alimentaire
16b5805f965c40d891b6;c7acbe46e9be710b5807;CAR-100080;Toulouse;31000;Occitanie;47;F;Fidèle;87;3.3;2026-02-19;119;Hygiène-Beauté
9d45403801e82f2586ec;4408e2c794a187f45c40;CAR-100081;Lyon;69003;Auvergne-Rhône-Alpes;49;H;Fidèle;159;4.0;2026-03-15;39;Hygiène-Beauté
24e4cfba030966987935;d7d154f9ddbe10c361d1;CAR-100082;Paris;75012;Île-de-France;62;F;Occasionnel;54;2.0;2025-12-23;160;Mode
a985a11eba6be0952f5c;f19746500180e3ad151a;CAR-100083;Saint-Denis;93200;Île-de-France;44;F;Fidèle;112;2.1;2026-01-24;152;Électronique
e9342b0176aa45f41737;6742b1b8340a67583583;CAR-100084;Montpellier;34000;Occitanie;42;H;Fidèle;175;2.1;2025-12-24;133;Maison
9d92b7060feb8174ee4a;2bbe218eafa75776d6b1;CAR-100085;Bordeaux;33000;Nouvelle-Aquitaine;62;H;Fidèle;97;3.4;2026-01-15;105;Jardin
efe4771a8eb4f53c11d0;5f2fa6026d9648aa879f;CAR-100086;Bordeaux;33000;Nouvelle-Aquitaine;53;F;Nouveau;33;0.7;2026-02-04;99;Mode
4fc8beea74b87d134b8d;781d5687128078e36970;CAR-100087;Nice;06000;PACA;66;H;Fidèle;107;2.2;2026-03-25;122;Mode
0e19ac75d5c212500732;7106ac1e74377b1bfc03;CAR-100088;Marseille;13008;PACA;24;H;Occasionnel;59;1.0;2026-02-02;62;Maison
9506fd3b4515aed7836b;9cec446be0a2852a70c4;CAR-100089;Lyon;69003;Auvergne-Rhône-Alpes;70;F;Occasionnel;48;1.7;2026-03-15;21;Maison
f496091ebb9a8399f753;e40146c55c0a08c067e9;CAR-100090;Bordeaux;33000;Nouvelle-Aquitaine;46;F;VIP;231;5.3;2026-03-06;157;Hygiène-Beauté
7a283cc8ac3975f6fc6c;3ea5e8bf552da78c78ec;CAR-100091;Nantes;44000;Pays de la Loire;41;F;Nouveau;69;0.7;2025-12-15;151;Bébé-Enfant
610378adcf4b24e26112;80c5e98b60c2a9d672a1;CAR-100092;Toulouse;31000;Occitanie;53;H;Occasionnel;62;0.8;2026-01-29;62;Mode
86b5f353679a0040bf65;c3c08c6562feca433ca0;CAR-100093;Nantes;44000;Pays de la Loire;31;F;Occasionnel;59;0.6;2025-12-22;109;Hygiène-Beauté
6d4b3d7c577ddc0eaedf;97f00ee351949a812e88;CAR-100094;Versailles;78000;Île-de-France;54;H;Fidèle;78;2.3;2026-01-05;93;Maison
5dc5660b9dc89410a6d6;ea766f37e4634e0b2d5f;CAR-100095;Nice;06000;PACA;62;F;Fidèle;162;3.4;2025-12-20;11;Hygiène-Beauté
f23819c022c511abf4d0;4ddfcea961f7df52e098;CAR-100096;Nantes;44000;Pays de la Loire;23;H;Fidèle;147;3.1;2026-03-22;139;Électronique
099e6fe9217eb961a97a;63824a8ecfcbad96beb9;CAR-100097;Marseille;13008;PACA;42;F;Fidèle;117;2.6;2026-03-26;179;Mode
f9c8932e67285288d56a;cadd61b5ede60da11e80;CAR-100098;Paris;75012;Île-de-France;47;H;Fidèle;100;2.5;2026-02-11;135;Alimentaire
eb30497b55cf3c6f1eca;44dd5829bbf330cdd960;CAR-100099;Boulogne;92100;Île-de-France;39;H;Fidèle;125;2.8;2025-12-10;55;Hygiène-Beauté
dc5b9854c6fc5a0339f1;cc64a93598369e0b3ad3;CAR-100100;Strasbourg;67000;Grand Est;37;F;Occasionnel;75;1.9;2025-12-29;178;Électronique
cc61ac85d154dc68b537;d2c1130508c565318572;CAR-100101;Nice;06000;PACA;23;F;Fidèle;93;3.2;2025-12-08;128;Électronique
9c230f53b0d95d6b22e6;44cbcfc052d386dc7b60;CAR-100102;Versailles;78000;Île-de-France;33;F;Fidèle;169;3.8;2026-02-20;103;Mode
fe98763ab0fc2e8b3546;a0b22555ed0a6d53b3c0;CAR-100103;Marseille;13008;PACA;53;F;Occasionnel;45;1.2;2025-12-31;148;Alimentaire
b532b310ad1e79177558;7ca80c967b3055d450b2;CAR-100104;Grenoble;38000;Auvergne-Rhône-Alpes;53;F;Fidèle;105;3.1;2025-12-28;58;Électronique
67148d78d16d41164d6e;421671c08cbfb5d416c7;CAR-100105;Marseille;13008;PACA;38;F;Fidèle;90;3.0;2026-02-26;56;Mode
1f8b20259395603625c4;1815003ab4cee3ad73d7;CAR-100106;Toulouse;31000;Occitanie;25;H;VIP;186;6.7;2026-02-08;12;Alimentaire
d93f1ade4bc200a6ba1c;fc8832f1c4b9a1ffa051;CAR-100107;Grenoble;38000;Auvergne-Rhône-Alpes;31;H;Fidèle;116;2.9;2026-02-02;38;Électronique
db589ba8fe08049971a2;ae821330d1bfc45cf9bd;CAR-100108;Lyon;69003;Auvergne-Rhône-Alpes;43;H;Occasionnel;31;1.3;2026-01-04;5;Jardin
96197a8041c10d8b6e4b;ae2737b4fb001d7149d5;CAR-100109;Paris;75012;Île-de-France;57;F;Fidèle;120;3.8;2025-12-13;165;Bébé-Enfant
620e71153e445ba89784;84edc4680d86741a9caf;CAR-100110;Toulouse;31000;Occitanie;63;F;Occasionnel;74;0.6;2025-12-02;66;Maison
55fb73f9016591124515;f172f5e8d2735d0aa284;CAR-100111;Lyon;69003;Auvergne-Rhône-Alpes;55;H;Nouveau;46;1.1;2026-03-02;27;Bébé-Enfant
a331cabf880195651d47;22ce8bf2e89eb19abd27;CAR-100112;Toulouse;31000;Occitanie;43;F;Occasionnel;40;1.0;2026-01-10;56;Mode
b882d999037d14598962;5ed51dad618792243da4;CAR-100113;Paris;75012;Île-de-France;62;F;Fidèle;90;2.6;2026-02-09;57;Électronique
22ecfaf6fa29c987a0cb;6442390c92ffaa26a097;CAR-100114;Rennes;35000;Bretagne;44;F;Fidèle;158;3.8;2026-03-17;140;Bébé-Enfant
a7f53298eb8fd7052934;41c0271fb363db1071e0;CAR-100115;Versailles;78000;Île-de-France;42;H;Nouveau;26;1.1;2026-01-01;37;Maison
da0bc5216a5263d54063;b62adedcc0dbf88e7171;CAR-100116;Montpellier;34000;Occitanie;33;H;Fidèle;160;3.2;2025-12-26;62;Mode
84dea630fccdff162591;16c422ea158c75012fd3;CAR-100117;Toulouse;31000;Occitanie;71;F;Occasionnel;31;0.9;2026-01-10;23;Alimentaire
75e536acbf6450a77dca;eef7bedc84679c452637;CAR-100118;Rennes;35000;Bretagne;60;F;Fidèle;112;3.3;2025-12-26;87;Hygiène-Beauté
555a93e857a089e331fb;9dde2234c65460f0e751;CAR-100119;Lille;59000;Hauts-de-France;18;H;Fidèle;141;2.6;2026-02-15;65;Hygiène-Beauté
01b92757f63d774b9b4b;bf64d937f24b426b6d46;CAR-100120;Rennes;35000;Bretagne;19;H;Occasionnel;73;1.1;2026-01-09;4;Alimentaire
ab2d7996fdb93e88a85a;43c465194097764cef2a;CAR-100121;Strasbourg;67000;Grand Est;48;F;Occasionnel;33;0.7;2025-12-14;55;Hygiène-Beauté
42f32df84e22a2b98f94;4ecb046cbb362dd0c019;CAR-100122;Bordeaux;33000;Nouvelle-Aquitaine;38;F;Occasionnel;59;1.1;2026-02-22;150;Électronique
ddde690857e494f1b420;177a42ecd06c1190f0bb;CAR-100123;Rennes;35000;Bretagne;45;H;Nouveau;50;0.4;2026-02-04;132;Mode
fd91480712e58bfbcc7c;967a0dd94aa71b1cf2a8;CAR-100124;Boulogne;92100;Île-de-France;40;H;Occasionnel;80;1.8;2026-02-20;155;Mode
4015372f53a27f50e8c4;8fc657756691860dcd6a;CAR-100125;Lille;59000;Hauts-de-France;53;H;Fidèle;107;2.6;2026-03-13;123;Hygiène-Beauté
f48032859cea0fdbdcd8;e889f3cb1532ea49b30a;CAR-100126;Nantes;44000;Pays de la Loire;51;F;Fidèle;75;2.7;2025-12-25;98;Électronique
7b9fb01a2afa7d9fc3b2;b91fa9f9c32128df7a51;CAR-100127;Versailles;78000;Île-de-France;69;F;Fidèle;84;2.2;2026-02-03;68;Bébé-Enfant
194334ea04f10dc47f06;af706ec332147be1e2a3;CAR-100128;Nantes;44000;Pays de la Loire;36;F;Nouveau;51;0.7;2025-12-26;66;Hygiène-Beauté
74764321c30523a1989c;9d4abccf1a1772c42934;CAR-100129;Montpellier;34000;Occitanie;26;F;Fidèle;155;3.3;2026-03-12;68;Hygiène-Beauté
08063b432b3a5e6e6a9f;66abe7e0274f3cfa65a1;CAR-100130;Boulogne;92100;Île-de-France;40;F;Occasionnel;37;1.1;2026-03-20;135;Hygiène-Beauté
e5409ee1a4c45da3bef8;deae9a94b3462b13c792;CAR-100131;Bordeaux;33000;Nouvelle-Aquitaine;50;H;Occasionnel;46;1.5;2025-12-27;108;Bébé-Enfant
dbdbbd2343a9dfc1dc26;7403d0fc9ed74a4680e6;CAR-100132;Boulogne;92100;Île-de-France;45;F;Occasionnel;70;0.7;2025-12-25;104;Jardin
77d479ddd24e32bb4e7a;6bab5690fbc5099e41eb;CAR-100133;Bordeaux;33000;Nouvelle-Aquitaine;42;H;Fidèle;179;3.5;2025-12-27;113;Hygiène-Beauté
eb6e471e05ffc7f1776a;116b5fb77cf222cf00b9;CAR-100134;Toulouse;31000;Occitanie;48;F;Fidèle;165;3.0;2026-03-07;54;Alimentaire
b25164bc8650a3c38467;3adcdb435ebbf9d5fbbb;CAR-100135;Bordeaux;33000;Nouvelle-Aquitaine;52;H;Occasionnel;56;1.8;2026-03-20;99;Alimentaire
693ad49ecbc95495da76;fccf7b6e4d1618acd709;CAR-100136;Versailles;78000;Île-de-France;40;F;Fidèle;78;3.3;2026-03-30;173;Mode
39251f5f45cbaccc2391;a563acb9c7b3988eee11;CAR-100137;Bordeaux;33000;Nouvelle-Aquitaine;38;H;Occasionnel;43;1.3;2025-12-01;127;Électronique
7801a7e6ab14badfaa2d;6ec7ba06afc316f75fc5;CAR-100138;Lille;59000;Hauts-de-France;30;F;Occasionnel;51;1.0;2026-01-04;105;Électronique
7d16a230a05d1813a25f;aaff2ab67bd6c6db9ae6;CAR-100139;Marseille;13008;PACA;69;H;Occasionnel;36;1.6;2026-03-27;157;Alimentaire
81ef5d235e6760ff38ca;b2e9425b70ecd3d24b8e;CAR-100140;Nantes;44000;Pays de la Loire;52;F;Occasionnel;78;1.5;2026-01-05;51;Alimentaire
cc35d42fdc2af13277ea;5cbb199e58b3562e0fd8;CAR-100141;Toulouse;31000;Occitanie;53;F;Nouveau;43;1.1;2026-01-12;127;Électronique
52d5938188c7ec2d9908;aa27701d3fc9d8d5cdb5;CAR-100142;Bordeaux;33000;Nouvelle-Aquitaine;28;H;Occasionnel;57;1.9;2026-01-12;52;Jardin
a0a86b62d6795b6cdbf0;ed6ad6948683833b0c5d;CAR-100143;Montpellier;34000;Occitanie;64;F;Fidèle;148;2.3;2026-01-19;122;Hygiène-Beauté
190ee4ff6f21484c86b9;15c101ed6d5a65edad12;CAR-100144;Lyon;69003;Auvergne-Rhône-Alpes;49;F;Nouveau;54;1.1;2026-03-17;114;Jardin
21a353c34319421a4a47;919ca84aeaeccf70bdad;CAR-100145;Lyon;69003;Auvergne-Rhône-Alpes;42;F;VIP;263;4.9;2026-01-04;37;Mode
8ca78cdc924d7474aa31;4eda56be04d2746dc125;CAR-100146;Lyon;69003;Auvergne-Rhône-Alpes;27;F;Occasionnel;80;1.4;2026-01-07;90;Électronique
6de290c651d4a5889f54;7606afca184d7c18a65d;CAR-100147;Lyon;69003;Auvergne-Rhône-Alpes;35;F;Nouveau;70;0.5;2026-02-21;25;Alimentaire
4ff707316fe470e78a05;5f4bf3772a801ff0f5a8;CAR-100148;Grenoble;38000;Auvergne-Rhône-Alpes;44;F;VIP;331;6.3;2026-03-30;82;Alimentaire
b2264888c3bafcb7e483;c0e31b63df1217be28a6;CAR-100149;Montpellier;34000;Occitanie;59;F;Occasionnel;57;1.9;2026-01-12;154;Hygiène-Beauté
99fd31ef806140566d36;1546d621125b0597d94e;CAR-100150;Rennes;35000;Bretagne;63;F;VIP;182;4.6;2026-03-12;156;Maison
4b7e5ab9b2a97de99d34;3f36c52006743494c310;CAR-100151;Nice;06000;PACA;27;F;Fidèle;151;3.4;2026-01-28;164;Bébé-Enfant
e487a3a6e8e9e58ae914;11021e1ed89f4a50ba96;CAR-100152;Grenoble;38000;Auvergne-Rhône-Alpes;40;H;Fidèle;165;2.7;2025-12-01;60;Jardin
5dbe0ebefdfa168de9e5;b5f4e4b7339f0b5deeb9;CAR-100153;Paris;75012;Île-de-France;34;H;Occasionnel;76;1.9;2026-01-19;103;Maison
190e46471f869b783d3d;2d189e117011385dfdd2;CAR-100154;Toulouse;31000;Occitanie;37;F;Fidèle;119;3.1;2025-12-31;143;Électronique
ef8b80fb0357e9a42adf;6c403a1ad94244649359;CAR-100155;Montpellier;34000;Occitanie;35;H;VIP;262;7.5;2026-03-10;150;Hygiène-Beauté
7310c120ffc55a3ded62;a3fee1c5988d42bb9e41;CAR-100156;Grenoble;38000;Auvergne-Rhône-Alpes;28;H;Fidèle;112;3.5;2025-12-11;150;Alimentaire
c5a582b0566e017c3643;e095c6c0f98d5b811a1b;CAR-100157;Marseille;13008;PACA;66;H;Occasionnel;57;0.6;2025-11-30;16;Alimentaire
9395825364e64dd4327e;5c0fd65028eadbd49b08;CAR-100158;Rennes;35000;Bretagne;55;H;Nouveau;29;0.5;2026-02-20;179;Mode
6b08eb5bc2796a524177;4b33ee5ca8d4edf5a56f;CAR-100159;Nantes;44000;Pays de la Loire;28;H;Nouveau;70;1.3;2026-02-23;164;Jardin
e2795cbe6749a315810a;c8b677dd2e73985bf45d;CAR-100160;Nice;06000;PACA;42;F;Fidèle;90;3.3;2026-01-16;149;Électronique
f689cc929a897763b7cc;dd4a622f595f3ee5ba5a;CAR-100161;Marseille;13008;PACA;38;F;Fidèle;176;4.0;2026-03-18;86;Alimentaire
669c0a1f4bade7995e32;d9f258c2e4e215d96cac;CAR-100162;Rennes;35000;Bretagne;48;F;Occasionnel;55;1.3;2026-03-22;135;Bébé-Enfant
9d221baf06528cea49a1;e9cca674a540d30d6f25;CAR-100163;Marseille;13008;PACA;53;F;Occasionnel;78;0.8;2026-03-30;145;Électronique
c95836d514e7ebd6ef84;0642a075de5eb80c75f2;CAR-100164;Paris;75012;Île-de-France;48;F;Occasionnel;38;1.3;2026-03-20;34;Mode
